data,concorso,n1,n2,n3,n4,n5,n6,jolly,superstar
2003-06-04,45,17,29,35,45,76,84,51,
2003-06-07,46,15,37,38,57,76,87,30,
2003-06-11,47,7,32,40,43,47,87,5,
2003-06-14,48,6,25,46,59,71,83,61,
2003-06-18,49,2,12,26,30,65,74,39,
2003-06-21,50,7,19,39,45,48,86,90,
2003-06-25,51,1,9,40,59,73,74,70,
2003-06-28,52,14,18,34,48,49,74,4,
2003-07-02,53,9,13,16,17,34,57,37,
2003-07-05,54,50,62,68,70,74,80,22,
2003-07-09,55,36,38,39,66,76,83,3,
2003-07-12,56,10,11,46,80,83,88,15,
2003-07-16,57,15,18,29,37,47,50,22,
2003-07-19,58,7,14,27,47,80,87,33,
2003-07-23,59,1,10,35,57,67,78,85,
2003-07-26,60,3,4,8,28,77,86,68,
2003-07-30,61,7,18,46,74,82,90,60,
2003-08-02,62,12,41,45,51,66,77,40,
2003-08-06,63,8,21,24,42,72,73,51,
2003-08-09,64,37,48,55,76,87,90,71,
2003-08-13,65,9,11,39,44,49,86,47,
2003-08-16,66,35,52,55,61,80,83,36,
2003-08-20,67,8,9,10,18,42,63,49,
2003-08-23,68,6,42,68,70,75,87,73,
2003-08-27,69,1,8,22,28,64,77,21,
2003-08-30,70,2,5,36,61,86,88,44,
2003-09-03,71,18,45,47,56,77,78,52,
2003-09-06,72,16,17,49,50,74,81,19,
2003-09-10,73,39,50,51,64,72,81,18,
2003-09-13,74,1,18,34,39,48,64,8,
2003-09-17,75,25,33,64,67,68,73,58,
2003-09-20,76,42,44,51,64,65,77,35,
2003-09-24,77,3,26,39,41,56,61,82,
2003-09-27,78,17,52,55,65,82,90,85,
2003-10-01,79,17,55,66,81,86,89,19,
2003-10-04,80,22,62,68,73,75,87,47,
2003-10-08,81,1,8,26,41,70,84,2,
2003-10-11,82,13,16,25,45,47,55,22,
2003-10-15,83,11,26,30,34,43,73,40,
2003-10-18,84,1,4,14,41,44,82,30,
2003-10-22,85,14,15,64,76,80,86,81,
2003-10-25,86,49,54,55,62,66,88,12,
2003-10-29,87,2,12,20,52,54,63,69,
2003-11-03,88,9,25,37,73,80,81,13,
2003-11-05,89,13,14,24,29,73,79,46,
2003-11-08,90,7,30,43,52,57,82,75,
2003-11-12,91,18,29,32,55,79,82,52,
2003-11-15,92,35,54,78,81,86,88,50,
2003-11-19,93,2,11,23,31,40,86,29,
2003-11-22,94,3,27,54,65,81,83,58,
2003-11-26,95,46,66,68,70,78,79,54,
2003-11-29,96,38,50,63,65,84,88,26,
2003-12-03,97,7,20,29,55,71,81,59,
2003-12-06,98,1,2,18,27,43,47,78,
2003-12-10,99,6,37,62,73,79,90,48,
2003-12-13,100,20,48,50,58,65,78,62,
2003-12-17,101,1,3,42,48,73,83,4,
2003-12-20,102,3,36,40,42,54,59,64,
2003-12-24,103,3,19,33,36,72,84,54,
2003-12-27,104,7,19,37,51,53,74,77,
2003-12-31,105,3,15,31,36,43,82,57,
2004-01-03,1,29,32,36,72,77,82,20,
2004-01-07,2,2,33,41,56,62,74,14,
2004-01-10,3,15,25,26,32,51,61,63,
2004-01-14,4,5,15,59,65,70,82,14,
2004-01-17,5,4,6,19,40,60,79,89,
2004-01-21,6,3,36,53,64,80,90,4,
2004-01-24,7,22,27,48,52,81,83,43,
2004-01-28,8,7,41,48,54,72,88,12,
2004-01-31,9,4,11,26,53,63,66,8,
2004-02-04,10,11,30,51,54,88,90,2,
2004-02-07,11,17,24,34,59,72,82,40,
2004-02-11,12,12,19,38,43,52,85,33,
2004-02-14,13,17,35,41,81,82,86,13,
2004-02-18,14,12,20,55,79,81,82,2,
2004-02-21,15,4,13,18,58,71,84,3,
2004-02-25,16,66,72,76,77,81,85,82,
2004-02-28,17,11,29,60,61,82,84,33,
2004-03-03,18,12,23,52,69,75,85,43,
2004-03-06,19,8,19,25,49,50,54,40,
2004-03-10,20,30,52,55,65,71,80,39,
2004-03-13,21,4,8,12,44,77,88,71,
2004-03-17,22,5,17,53,56,61,83,86,
2004-03-20,23,21,41,60,69,71,83,65,
2004-03-24,24,24,50,58,69,87,88,3,
2004-03-27,25,4,15,39,41,49,68,34,
2004-03-31,26,32,40,45,47,56,71,64,
2004-04-03,27,6,7,13,35,56,87,48,
2004-04-07,28,4,16,17,52,62,67,49,
2004-04-10,29,3,9,41,69,74,79,89,
2004-04-14,30,24,51,64,69,71,77,63,
2004-04-17,31,3,14,50,59,82,84,2,
2004-04-21,32,29,61,62,69,80,85,5,
2004-04-24,33,7,19,27,51,63,86,62,
2004-04-28,34,35,42,60,88,89,90,86,
2004-05-03,35,2,7,24,56,82,85,62,
2004-05-05,36,2,22,37,46,57,74,63,
2004-05-08,37,3,34,62,63,72,73,15,
2004-05-12,38,13,14,40,66,79,85,80,
2004-05-15,39,14,46,49,60,77,86,33,
2004-05-19,40,9,22,36,47,69,85,78,
2004-05-22,41,14,33,35,46,50,66,44,
2004-05-26,42,26,65,73,76,81,90,13,
2004-05-29,43,1,5,16,60,84,86,57,
2004-06-03,44,13,16,42,61,63,81,10,
2004-06-05,45,29,34,37,55,62,78,24,
2004-06-09,46,1,2,26,31,42,64,11,
2004-06-12,47,38,44,46,55,67,85,29,
2004-06-16,48,20,55,59,73,87,90,40,
2004-06-19,49,4,8,11,36,55,83,49,
2004-06-23,50,11,15,58,66,74,79,3,
2004-06-26,51,18,37,40,45,54,56,57,
2004-06-30,52,10,22,34,43,62,68,40,
2004-07-03,53,14,18,22,27,39,58,43,
2004-07-07,54,14,23,29,44,48,74,73,
2004-07-10,55,13,30,47,66,74,81,70,
2004-07-14,56,8,18,26,36,41,52,90,
2004-07-17,57,29,53,54,72,76,90,20,
2004-07-21,58,8,13,31,42,58,88,46,
2004-07-24,59,5,17,18,27,33,47,80,
2004-07-28,60,2,13,22,53,60,85,16,
2004-07-31,61,17,29,63,66,70,89,82,
2004-08-04,62,12,17,27,44,72,90,11,
2004-08-07,63,8,29,38,53,77,80,27,
2004-08-11,64,6,42,43,46,53,70,35,
2004-08-14,65,29,40,52,59,71,84,60,
2004-08-18,66,4,19,51,57,66,89,78,
2004-08-21,67,32,42,55,74,78,88,71,
2004-08-25,68,1,27,37,42,53,61,70,
2004-08-28,69,18,35,50,57,67,72,16,
2004-09-01,70,5,15,66,67,82,84,64,
2004-09-04,71,35,37,41,43,51,88,2,
2004-09-08,72,41,43,53,65,67,80,77,
2004-09-11,73,16,20,43,77,78,84,42,
2004-09-15,74,8,36,49,59,70,87,73,
2004-09-18,75,2,21,24,27,42,68,63,
2004-09-22,76,11,67,72,74,75,77,44,
2004-09-25,77,2,49,56,76,86,89,10,
2004-09-29,78,2,11,22,25,60,78,74,
2004-10-02,79,9,37,41,46,65,79,83,
2004-10-06,80,3,11,19,28,52,87,72,
2004-10-09,81,7,32,44,47,65,79,48,
2004-10-13,82,19,44,57,69,71,87,65,
2004-10-16,83,12,14,27,35,73,88,66,
2004-10-20,84,13,33,47,48,70,85,7,
2004-10-23,85,12,40,51,68,73,77,69,
2004-10-27,86,10,14,17,56,65,84,25,
2004-10-30,87,4,13,19,30,53,81,42,
2004-11-03,88,24,35,39,60,72,75,20,
2004-11-06,89,13,18,21,31,41,56,33,
2004-11-10,90,15,51,63,79,83,90,64,
2004-11-13,91,2,21,33,38,45,46,54,
2004-11-17,92,19,21,27,47,59,88,29,
2004-11-20,93,29,30,38,54,66,78,80,
2004-11-24,94,43,45,46,47,69,90,21,
2004-11-27,95,27,35,54,61,83,89,57,
2004-12-01,96,3,41,64,65,74,90,80,
2004-12-04,97,20,24,38,42,44,79,50,
2004-12-09,98,6,8,15,18,33,75,87,
2004-12-11,99,8,41,60,70,73,85,55,
2004-12-15,100,3,4,15,21,61,67,55,
2004-12-18,101,11,23,47,48,80,87,89,
2004-12-22,102,14,15,54,77,80,82,55,
2004-12-27,103,4,59,68,72,74,87,12,
2004-12-29,104,2,24,49,56,76,78,44,
2005-01-03,1,10,21,22,43,61,66,47,
2005-01-05,2,51,53,63,75,76,87,46,
2005-01-08,3,11,25,63,72,76,87,59,
2005-01-12,4,2,12,16,20,24,79,83,
2005-01-15,5,14,31,34,78,89,90,55,
2005-01-19,6,7,43,46,70,77,89,38,
2005-01-22,7,15,45,62,63,80,82,44,
2005-01-26,8,1,22,24,44,47,79,43,
2005-01-29,9,1,16,18,43,47,78,59,
2005-02-02,10,28,32,46,49,85,87,52,
2005-02-05,11,45,60,67,69,70,87,34,
2005-02-09,12,23,35,36,51,59,80,53,
2005-02-12,13,13,18,24,50,58,66,64,
2005-02-16,14,6,8,18,51,80,89,47,
2005-02-19,15,22,26,32,38,42,86,85,
2005-02-23,16,8,17,36,37,60,65,13,
2005-02-26,17,4,23,28,60,64,65,35,
2005-03-02,18,15,31,62,68,72,73,25,
2005-03-05,19,19,21,36,55,77,87,51,
2005-03-09,20,26,31,50,71,85,87,18,
2005-03-12,21,2,8,30,74,76,88,37,
2005-03-16,22,4,10,18,53,75,80,85,
2005-03-19,23,12,33,40,52,53,85,22,
2005-03-23,24,11,32,36,52,63,66,26,
2005-03-26,25,42,55,59,61,70,73,41,
2005-03-30,26,6,55,61,65,78,89,13,
2005-04-02,27,7,24,42,49,54,65,44,
2005-04-06,28,28,41,56,75,83,90,44,
2005-04-09,29,29,30,61,65,73,81,58,
2005-04-13,30,1,52,70,73,83,89,56,
2005-04-16,31,5,13,20,32,38,59,7,
2005-04-20,32,19,47,56,57,70,71,11,
2005-04-23,33,1,32,37,68,81,88,74,
2005-04-27,34,13,15,19,21,82,86,87,
2005-04-30,35,16,31,53,63,70,81,7,
2005-05-04,36,1,29,49,53,56,74,67,
2005-05-07,37,6,11,21,30,58,63,5,
2005-05-11,38,5,55,68,69,70,76,14,
2005-05-14,39,6,16,44,45,89,90,82,
2005-05-18,40,5,9,23,40,57,68,66,
2005-05-21,41,4,15,25,39,45,79,50,
2005-05-25,42,17,19,35,39,40,51,72,
2005-05-28,43,2,3,10,15,31,61,37,
2005-06-01,44,3,7,11,35,69,85,19,
2005-06-04,45,15,18,35,55,64,88,50,
2005-06-08,46,6,8,28,29,32,73,59,
2005-06-11,47,22,35,36,44,74,75,58,
2005-06-15,48,6,57,58,66,76,80,72,
2005-06-18,49,7,19,27,54,64,78,86,
2005-06-21,50,10,13,45,51,65,88,43,
2005-06-23,51,9,24,56,68,80,86,14,
2005-06-25,52,4,8,38,60,82,89,88,
2005-06-28,53,6,8,49,60,72,74,89,
2005-06-30,54,6,27,42,49,82,86,69,
2005-07-02,55,1,19,23,50,74,77,18,
2005-07-05,56,33,39,49,57,76,80,53,
2005-07-07,57,17,21,40,55,64,79,86,
2005-07-09,58,2,13,18,51,52,55,64,
2005-07-12,59,5,24,28,41,51,73,29,
2005-07-14,60,8,14,41,55,83,85,7,
2005-07-16,61,8,22,28,36,74,85,79,
2005-07-19,62,2,15,39,57,62,73,75,
2005-07-21,63,2,7,16,26,34,80,23,
2005-07-23,64,41,48,66,81,86,87,50,
2005-07-26,65,3,17,43,54,75,79,76,
2005-07-28,66,8,18,25,38,41,43,4,
2005-07-30,67,25,28,29,54,74,88,2,
2005-08-02,68,24,34,64,66,68,72,65,
2005-08-04,69,24,37,64,81,84,90,74,
2005-08-06,70,1,4,22,24,38,46,61,
2005-08-09,71,3,8,13,28,50,61,38,
2005-08-11,72,3,49,68,73,76,80,70,
2005-08-13,73,7,8,33,39,48,84,23,
2005-08-16,74,18,22,28,33,57,71,64,
2005-08-18,75,3,15,49,65,70,72,63,
2005-08-20,76,24,34,56,72,79,88,18,
2005-08-23,77,7,22,33,48,86,87,39,
2005-08-25,78,7,15,33,40,51,64,17,
2005-08-27,79,11,14,17,35,43,70,54,
2005-08-30,80,10,29,53,73,78,83,16,
2005-09-01,81,9,12,20,55,69,81,64,
2005-09-03,82,3,11,26,36,45,75,1,
2005-09-06,83,13,22,31,54,55,87,29,
2005-09-08,84,42,64,79,84,87,89,6,
2005-09-10,85,20,48,57,65,71,90,39,
2005-09-13,86,18,21,24,28,74,77,13,
2005-09-15,87,19,36,44,46,51,89,9,
2005-09-17,88,13,14,20,22,44,88,1,
2005-09-20,89,37,40,70,71,75,80,15,
2005-09-22,90,18,28,34,46,66,82,90,
2005-09-24,91,4,18,41,52,79,82,39,
2005-09-27,92,12,33,49,58,69,75,55,
2005-09-29,93,12,23,29,48,52,78,40,
2005-10-01,94,44,56,63,71,79,90,88,
2005-10-04,95,5,25,44,54,65,70,43,
2005-10-06,96,5,11,13,55,66,71,25,
2005-10-08,97,15,25,58,61,83,86,77,
2005-10-11,98,10,25,35,83,87,90,5,
2005-10-13,99,14,20,35,45,48,66,57,
2005-10-15,100,13,27,46,68,79,83,32,
2005-10-18,101,3,33,63,71,78,79,74,
2005-10-20,102,7,48,53,59,70,76,63,
2005-10-22,103,24,35,38,61,70,86,58,
2005-10-25,104,17,39,48,55,57,85,15,
2005-10-27,105,17,42,62,67,77,79,74,
2005-10-29,106,3,6,21,24,37,48,13,
2005-11-02,107,5,31,57,66,81,85,50,
2005-11-03,108,9,13,17,47,63,81,77,
2005-11-05,109,13,30,60,67,84,86,78,
2005-11-08,110,1,13,14,25,72,86,4,
2005-11-10,111,3,15,23,40,51,60,32,
2005-11-12,112,11,16,54,56,57,82,41,
2005-11-15,113,48,59,65,69,84,90,46,
2005-11-17,114,20,26,30,39,40,55,73,
2005-11-19,115,12,14,23,36,72,87,89,
2005-11-22,116,4,16,31,54,70,87,27,
2005-11-24,117,25,28,34,44,57,80,86,
2005-11-26,118,23,30,32,41,48,64,78,
2005-11-29,119,1,12,21,36,40,84,48,
2005-12-01,120,22,30,43,56,69,78,66,
2005-12-03,121,24,40,53,60,63,68,56,
2005-12-06,122,18,38,43,57,73,88,67,
2005-12-09,123,15,23,35,38,69,89,22,
2005-12-10,124,20,27,28,46,64,85,68,
2005-12-13,125,52,59,63,72,75,87,89,
2005-12-15,126,6,26,42,51,60,79,47,
2005-12-17,127,20,23,42,70,80,90,39,
2005-12-20,128,1,17,31,39,49,71,7,
2005-12-22,129,9,46,54,64,69,72,90,
2005-12-24,130,26,47,49,66,86,88,44,
2005-12-27,131,3,5,51,55,82,83,76,
2005-12-29,132,3,4,17,20,23,54,43,
2005-12-31,133,57,66,68,70,74,86,87,
2006-01-03,1,13,14,22,24,46,81,70,
2006-01-05,2,8,27,29,38,64,82,37,
2006-01-07,3,43,45,80,81,83,86,77,
2006-01-10,4,54,58,72,73,82,86,38,
2006-01-12,5,26,30,38,55,69,75,11,
2006-01-14,6,30,31,33,44,77,89,51,
2006-01-17,7,26,27,31,69,78,85,67,
2006-01-19,8,25,55,60,69,77,81,34,
2006-01-21,9,7,37,44,45,53,68,57,
2006-01-24,10,11,13,27,47,82,84,28,
2006-01-26,11,9,47,59,73,79,88,18,
2006-01-28,12,25,39,74,76,85,88,58,
2006-01-31,13,34,38,53,60,72,88,18,
2006-02-02,14,3,22,29,54,75,84,78,
2006-02-04,15,13,22,43,50,70,76,14,
2006-02-07,16,11,18,27,37,65,72,43,
2006-02-09,17,7,33,38,51,53,67,57,
2006-02-11,18,1,2,8,30,42,43,45,
2006-02-14,19,8,44,47,60,66,77,83,
2006-02-16,20,5,6,18,34,42,72,8,
2006-02-18,21,34,40,42,64,77,88,48,
2006-02-21,22,20,58,65,70,77,86,87,
2006-02-23,23,17,26,70,76,82,90,72,
2006-02-25,24,3,6,44,60,84,86,53,
2006-02-28,25,3,21,63,81,87,89,4,
2006-03-02,26,4,35,41,66,77,89,68,
2006-03-04,27,17,27,29,31,44,46,51,
2006-03-07,28,1,7,22,72,79,82,75,
2006-03-09,29,10,12,15,51,66,68,60,
2006-03-11,30,26,28,55,61,62,85,81,
2006-03-14,31,15,20,32,43,45,54,81,
2006-03-16,32,8,10,15,42,48,51,25,
2006-03-18,33,41,43,52,59,73,82,87,
2006-03-21,34,7,8,10,29,40,52,14,
2006-03-23,35,10,41,53,62,65,76,26,
2006-03-25,36,16,20,29,31,38,45,25,
2006-03-28,37,24,25,33,42,57,89,20,
2006-03-30,38,1,4,14,30,78,82,70,
2006-04-01,39,15,30,33,37,62,78,55,
2006-04-04,40,13,25,45,70,78,88,89,
2006-04-06,41,13,19,60,61,83,90,10,
2006-04-08,42,16,33,60,61,62,63,77,
2006-04-11,43,16,19,44,60,76,89,79,
2006-04-13,44,27,35,41,46,49,86,24,
2006-04-15,45,10,11,13,37,81,84,3,
2006-04-18,46,1,4,12,14,66,78,55,
2006-04-20,47,32,35,44,58,82,90,52,
2006-04-22,48,16,21,59,70,71,83,90,
2006-04-26,49,13,18,47,51,60,64,11,
2006-04-27,50,8,23,30,53,69,78,36,
2006-04-29,51,12,22,53,54,60,77,28,
2006-05-02,52,22,42,52,55,62,74,61,
2006-05-04,53,11,18,37,52,62,77,59,
2006-05-06,54,19,22,46,49,72,85,14,
2006-05-09,55,16,23,40,62,79,88,42,
2006-05-11,56,14,19,20,26,79,82,47,
2006-05-13,57,11,31,38,50,59,62,7,
2006-05-16,58,1,4,32,35,36,87,7,
2006-05-18,59,1,63,67,71,75,79,28,
2006-05-20,60,5,32,39,50,59,77,71,
2006-05-23,61,30,36,39,68,71,80,38,
2006-05-25,62,19,22,44,61,66,75,77,
2006-05-27,63,5,11,33,51,82,85,19,
2006-05-30,64,1,16,25,33,54,71,11,
2006-06-01,65,18,33,51,66,87,90,5,
2006-06-03,66,20,68,70,71,72,81,90,
2006-06-06,67,29,31,41,44,64,73,1,
2006-06-08,68,5,42,51,66,69,74,22,
2006-06-10,69,9,10,63,73,79,90,2,
2006-06-13,70,10,13,21,31,48,72,79,
2006-06-15,71,6,27,39,43,62,84,67,
2006-06-17,72,2,8,43,48,60,67,74,
2006-06-20,73,22,26,51,63,64,73,17,
2006-06-22,74,8,22,36,48,53,55,29,
2006-06-24,75,5,11,24,26,49,68,13,
2006-06-27,76,11,29,56,62,68,76,33,
2006-06-29,77,27,28,56,67,75,86,79,
2006-07-01,78,5,11,40,45,58,75,66,
2006-07-04,79,20,45,59,75,84,90,85,
2006-07-06,80,21,22,34,55,56,74,63,
2006-07-08,81,4,49,54,73,79,83,29,
2006-07-11,82,2,12,19,25,31,76,49,
2006-07-13,83,15,46,47,67,73,90,51,
2006-07-15,84,16,21,27,43,56,64,19,
2006-07-18,85,3,27,30,38,43,60,50,
2006-07-20,86,22,36,65,72,82,86,27,
2006-07-22,87,12,37,46,54,58,79,90,
2006-07-25,88,5,35,49,52,65,89,15,
2006-07-27,89,26,34,68,82,83,87,42,
2006-07-29,90,18,24,46,47,69,70,82,
2006-08-01,91,31,37,45,52,74,83,70,
2006-08-03,92,21,22,25,53,76,85,7,
2006-08-05,93,5,11,21,49,54,84,66,
2006-08-08,94,3,4,5,47,55,80,73,
2006-08-10,95,6,9,42,48,81,87,63,
2006-08-12,96,45,49,63,67,82,90,72,
2006-08-16,97,8,25,28,57,71,72,83,
2006-08-17,98,4,25,30,40,41,62,38,
2006-08-19,99,6,59,77,81,82,88,61,
2006-08-22,100,3,8,16,64,72,73,22,
2006-08-24,101,3,27,29,46,47,61,15,
2006-08-26,102,3,9,14,55,62,83,79,
2006-08-29,103,46,49,50,57,68,69,14,
2006-08-31,104,2,11,17,33,79,87,7,
2006-09-02,105,26,33,35,45,54,61,10,
2006-09-05,106,16,21,51,64,65,89,63,
2006-09-07,107,1,3,29,63,72,85,55,
2006-09-09,108,7,10,24,31,81,84,4,
2006-09-12,109,8,22,36,43,76,77,23,
2006-09-14,110,10,22,27,34,56,85,16,
2006-09-16,111,14,34,35,37,41,61,31,
2006-09-19,112,4,6,8,14,21,28,56,
2006-09-21,113,2,8,27,30,35,87,21,
2006-09-23,114,8,23,39,52,75,81,65,
2006-09-26,115,6,9,10,20,60,83,81,
2006-09-28,116,52,58,61,62,65,69,53,
2006-09-30,117,3,47,63,66,67,69,56,
2006-10-03,118,14,24,33,41,53,82,47,
2006-10-05,119,4,40,60,71,72,90,21,
2006-10-07,120,15,29,30,68,79,85,26,
2006-10-10,121,6,13,34,52,63,83,16,
2006-10-12,122,12,46,52,55,65,90,32,
2006-10-14,123,12,37,38,42,79,82,60,
2006-10-17,124,4,18,24,49,66,81,70,
2006-10-19,125,34,36,44,50,71,80,85,
2006-10-21,126,4,5,21,26,42,79,84,
2006-10-24,127,4,25,43,45,71,90,52,
2006-10-26,128,42,44,45,47,72,79,15,
2006-10-28,129,15,29,50,57,79,88,84,
2006-10-31,130,8,19,27,43,51,79,22,
2006-11-02,131,2,4,5,9,22,75,79,
2006-11-04,132,14,37,48,50,65,66,87,
2006-11-07,133,10,27,42,72,75,87,44,
2006-11-09,134,5,6,28,61,77,87,71,
2006-11-11,135,22,36,40,44,46,76,30,
2006-11-14,136,8,12,14,66,76,88,45,
2006-11-16,137,36,42,46,51,72,84,65,
2006-11-18,138,36,55,59,81,82,89,20,
2006-11-21,139,2,3,35,41,48,88,5,
2006-11-23,140,23,29,42,44,59,82,38,
2006-11-25,141,1,2,4,44,75,80,33,
2006-11-28,142,50,51,57,59,64,74,28,
2006-11-30,143,1,31,51,73,77,88,89,
2006-12-02,144,25,45,63,71,74,88,90,
2006-12-05,145,3,12,22,65,77,84,4,
2006-12-07,146,4,19,31,51,56,57,24,
2006-12-09,147,21,23,28,48,49,54,65,
2006-12-12,148,7,17,44,63,64,88,8,
2006-12-14,149,1,31,48,75,78,81,28,
2006-12-16,150,14,28,40,52,54,83,25,
2006-12-19,151,10,19,32,44,56,76,15,
2006-12-21,152,2,10,30,43,56,83,64,
2006-12-23,153,8,13,16,17,49,68,15,
2006-12-27,154,3,11,28,29,68,88,39,
2006-12-28,155,15,43,45,66,74,87,86,
2006-12-30,156,2,20,32,51,53,83,47,
2007-01-02,1,42,47,55,57,61,79,72,
2007-01-04,2,21,40,76,77,83,84,73,
2007-01-08,3,3,45,49,53,58,77,48,
2007-01-09,4,16,39,65,67,83,86,64,
2007-01-11,5,6,27,59,71,85,90,72,
2007-01-13,6,11,49,53,65,77,89,33,
2007-01-16,7,1,11,24,33,36,80,15,
2007-01-18,8,7,39,45,47,55,80,3,
2007-01-20,9,18,47,55,64,74,89,23,
2007-01-23,10,8,10,20,40,80,85,32,
2007-01-25,11,4,6,26,28,53,64,42,
2007-01-27,12,10,33,34,44,70,79,80,
2007-01-30,13,1,23,38,50,60,77,39,
2007-02-01,14,1,20,21,27,44,75,36,
2007-02-03,15,3,12,32,43,51,58,13,
2007-02-06,16,21,35,39,54,62,85,71,
2007-02-08,17,3,9,33,61,65,85,11,
2007-02-10,18,11,30,55,76,77,90,57,
2007-02-13,19,4,29,70,82,86,88,8,
2007-02-15,20,11,22,35,65,78,81,7,
2007-02-17,21,40,41,62,65,89,90,25,
2007-02-20,22,19,25,31,56,82,90,17,
2007-02-22,23,28,44,51,72,81,90,16,
2007-02-24,24,1,30,60,70,74,77,90,
2007-02-27,25,6,20,58,59,65,88,90,
2007-03-01,26,40,55,64,65,70,85,13,
2007-03-03,27,6,32,50,57,59,61,68,
2007-03-06,28,1,8,21,30,81,86,13,
2007-03-08,29,5,27,43,50,75,90,54,
2007-03-10,30,16,22,36,40,62,75,55,
2007-03-13,31,13,46,48,76,81,83,35,
2007-03-15,32,1,6,43,46,61,83,80,
2007-03-17,33,10,43,55,56,81,87,69,
2007-03-20,34,5,7,68,71,75,85,15,
2007-03-22,35,23,32,34,72,80,83,22,
2007-03-24,36,28,45,60,63,74,86,66,
2007-03-27,37,35,36,43,46,69,75,47,
2007-03-29,38,13,17,19,21,69,73,78,
2007-03-31,39,42,70,74,78,82,87,23,
2007-04-03,40,12,16,21,25,27,64,66,
2007-04-05,41,2,17,60,77,85,86,21,
2007-04-07,42,1,29,37,67,74,81,54,
2007-04-10,43,8,30,39,66,69,78,70,
2007-04-12,44,10,28,53,64,76,79,47,
2007-04-14,45,3,46,64,71,78,87,4,
2007-04-17,46,3,21,33,45,47,85,17,
2007-04-19,47,28,30,65,74,77,83,40,
2007-04-21,48,11,19,43,75,81,87,1,
2007-04-24,49,8,36,40,45,67,79,84,
2007-04-26,50,36,38,54,56,75,85,28,
2007-04-28,51,7,15,16,21,37,60,52,
2007-05-02,52,3,6,12,20,69,83,80,
2007-05-03,53,1,11,20,66,69,88,35,
2007-05-05,54,2,3,64,69,73,82,62,
2007-05-08,55,14,30,33,35,58,76,82,
2007-05-10,56,32,38,55,58,66,85,51,
2007-05-12,57,25,46,48,52,57,81,3,
2007-05-15,58,23,33,78,79,87,88,56,
2007-05-17,59,10,36,63,75,79,85,49,
2007-05-19,60,7,8,13,17,38,43,6,
2007-05-22,61,1,44,67,77,88,90,79,
2007-05-24,62,13,19,32,39,44,61,66,
2007-05-26,63,5,31,62,63,68,78,2,
2007-05-29,64,1,16,17,31,42,70,81,
2007-05-31,65,7,21,36,38,77,79,17,
2007-06-04,66,17,39,40,75,76,88,19,
2007-06-05,67,1,9,13,29,71,83,56,
2007-06-07,68,59,66,69,72,73,80,23,
2007-06-09,69,5,19,20,26,53,54,56,
2007-06-12,70,1,14,17,47,61,66,13,
2007-06-14,71,12,42,44,46,52,86,25,
2007-06-16,72,29,32,39,43,66,73,60,
2007-06-19,73,1,2,26,41,65,80,37,
2007-06-21,74,2,10,35,67,77,90,51,
2007-06-23,75,15,42,65,68,70,90,46,
2007-06-26,76,6,15,45,47,69,70,40,
2007-06-28,77,3,20,47,52,83,90,75,
2007-06-30,78,4,24,30,61,66,69,67,
2007-07-03,79,19,23,39,54,79,87,42,
2007-07-05,80,8,24,52,73,84,86,51,
2007-07-07,81,32,45,69,77,83,87,19,
2007-07-10,82,14,42,53,68,83,89,75,
2007-07-12,83,1,35,51,56,68,79,63,
2007-07-14,84,27,33,44,56,63,85,79,
2007-07-17,85,23,31,62,65,69,89,49,
2007-07-19,86,21,30,33,45,62,70,57,
2007-07-21,87,18,62,64,69,75,81,3,
2007-07-24,88,43,56,61,62,73,81,75,
2007-07-26,89,20,22,36,68,81,87,52,
2007-07-28,90,8,38,47,63,71,84,69,
2007-07-31,91,12,38,65,72,83,84,31,
2007-08-02,92,16,24,51,55,59,66,41,
2007-08-04,93,41,46,64,71,84,87,81,
2007-08-07,94,21,29,50,55,67,73,24,
2007-08-09,95,34,39,57,62,79,83,13,
2007-08-11,96,30,37,41,62,65,68,40,
2007-08-14,97,14,19,44,52,60,71,57,
2007-08-16,98,16,24,37,38,69,78,25,
2007-08-18,99,1,25,60,67,87,88,75,
2007-08-21,100,11,27,45,53,55,58,34,
2007-08-23,101,8,46,49,55,80,87,64,
2007-08-25,102,4,23,25,30,34,57,40,
2007-08-28,103,6,18,36,75,81,83,72,
2007-08-30,104,19,48,49,56,60,88,76,
2007-09-01,105,1,35,37,39,57,84,67,
2007-09-04,106,5,6,9,51,62,66,10,
2007-09-06,107,9,16,22,25,26,70,64,
2007-09-08,108,9,31,32,47,70,89,19,
2007-09-11,109,3,4,19,39,73,78,80,
2007-09-13,110,15,23,59,65,78,82,41,
2007-09-15,111,10,30,57,64,72,75,49,
2007-09-18,112,7,17,30,56,68,80,19,
2007-09-20,113,10,20,24,38,49,87,77,
2007-09-22,114,4,52,68,79,85,86,20,
2007-09-25,115,10,14,18,22,48,68,38,
2007-09-27,116,2,23,46,48,55,63,15,
2007-09-29,117,8,11,17,20,21,80,64,
2007-10-02,118,8,23,48,49,61,62,47,
2007-10-04,119,3,17,33,51,77,87,16,
2007-10-06,120,3,20,21,43,69,70,78,
2007-10-09,121,7,9,17,51,57,78,87,
2007-10-11,122,18,37,49,71,76,78,23,
2007-10-13,123,12,41,42,44,80,86,37,
2007-10-16,124,7,21,58,65,72,77,85,
2007-10-18,125,2,24,51,55,62,81,53,
2007-10-20,126,11,17,20,36,57,72,51,
2007-10-23,127,1,10,26,62,71,90,43,
2007-10-25,128,3,6,7,30,67,89,11,
